atp_cost	c_content	length	n_content	prot_ID	s_content
21.194	4.61	16477	1.199	seq_15893_2	0.009
21.229	4.615	15483	1.213	seq_15893_5	0.008
20.734	4.545	17817	1.198	seq_15893_1	0.012
20.851	4.509	14916	1.189	seq_15893_7	0.015
21.479	4.709	14511	1.407	seq_15893_8	0.013
22.419	4.728	13404	1.305	seq_15893_9	0.014
18.839	4.111	28178	1.165	seq_15893_0	0.003
18.802	4.247	16322	1.114	seq_15893_3	0.012
19.478	4.282	16067	1.146	seq_15893_4	0.008
21.744	4.721	12228	1.255	seq_15893_13	0.011
20.87	4.579	12584	1.289	seq_15893_12	0.002
20.315	4.473	15245	1.21	seq_15893_6	0.016
21.485	4.663	12869	1.268	seq_15893_10	0.009
22.57	4.9	12663	1.29	seq_15893_11	0.011
19.655	4.269	11286	1.239	seq_15893_17	0.007
18.318	4.056	11083	1.151	seq_15893_18	0.004
20.97	4.593	12098	1.183	seq_15893_14	0.007
20.363	4.519	10791	1.204	seq_15893_20	0.004
21.448	4.667	10590	1.185	seq_15893_21	0.007
19.834	4.18	10429	1.171	seq_15893_22	0.006
22.745	4.862	10229	1.268	seq_15893_23	0.015
20.57	4.51	10858	1.216	seq_15893_19	0.007
20.994	4.582	11732	1.216	seq_15893_15	0.013
19.646	4.461	9867	1.158	seq_15893_28	0.002
22.635	4.786	9914	1.279	seq_15893_27	0.02
20.763	4.516	11716	1.164	seq_15893_16	0.013
24.273	5.035	10211	1.339	seq_15893_24	0.021
19.78	4.384	10077	1.186	seq_15893_25	0.01
18.842	4.195	10022	1.157	seq_15893_26	0.004
20.888	4.599	9585	1.187	seq_15893_32	0.003
18.94	4.271	9611	1.236	seq_15893_31	0.005
20.987	4.599	9568	1.22	seq_15893_34	0.01
21.484	4.72	9557	1.24	seq_15893_35	0.012
20.29	4.433	9556	1.235	seq_15893_36	0.061
22.187	4.736	9466	1.276	seq_15893_37	0.014
20.641	4.564	9449	1.198	seq_15893_38	0.005
19.427	4.369	9845	1.154	seq_15893_29	0.01
21.338	4.72	9800	1.235	seq_15893_30	0.001
21.868	4.749	9583	1.3	seq_15893_33	0.018
17.723	3.846	9144	1.157	seq_15893_42	0.007
22.14	4.703	9131	1.257	seq_15893_43	0.015
23.573	4.996	9301	1.289	seq_15893_39	0.016
22.319	4.743	9152	1.265	seq_15893_40	0.018
22.808	4.863	9150	1.43	seq_15893_41	0.022
19.915	4.405	8942	1.209	seq_15893_48	0.008
22.042	4.756	8948	1.336	seq_15893_47	0.022
21.489	4.699	9105	1.216	seq_15893_44	0.005
20.159	4.486	9100	1.169	seq_15893_45	0.005
21.428	4.754	8998	1.132	seq_15893_46	0.011
19.269	4.388	8918	1.144	seq_15893_49	0.005
20.17	4.324	8871	1.192	seq_15893_50	0.026
22.026	4.755	8863	1.335	seq_15893_51	0.021
23.596	4.868	8862	1.315	seq_15893_52	0.021
23.699	4.981	8729	1.323	seq_15893_53	0.025
22.291	4.799	8646	1.377	seq_15893_54	0.021
20.25	4.421	8645	1.224	seq_15893_55	0.012
20.901	4.567	8600	1.268	seq_15893_56	0.008
22.435	4.769	8597	1.279	seq_15893_57	0.018
22.487	4.778	8566	1.274	seq_15893_60	0.016
22.512	4.786	8566	1.277	seq_15893_61	0.016
22.405	4.784	8573	1.273	seq_15893_58	0.016
20.381	4.414	8572	1.212	seq_15893_59	0.013
24.163	5.026	8559	1.285	seq_15893_62	0.015
22.544	4.807	8539	1.275	seq_15893_63	0.019
22.358	4.755	8397	1.258	seq_15893_66	0.016
22.162	4.714	8485	1.27	seq_15893_64	0.018
22.578	4.792	8467	1.272	seq_15893_65	0.019
22.305	4.641	8387	1.277	seq_15893_68	0.078
24.709	5.123	8393	1.331	seq_15893_67	0.016
23.484	4.831	8376	1.3	seq_15893_69	0.076
22.11	4.715	8217	1.246	seq_15893_72	0.012
23.386	4.906	8232	1.293	seq_15893_71	0.011
22.101	4.713	8259	1.245	seq_15893_70	0.012
22.068	4.706	8214	1.247	seq_15893_73	0.011
19.709	4.379	8173	1.123	seq_15893_74	0.007
18.407	4.178	8129	1.128	seq_15893_75	0.0
20.63	4.556	8087	1.198	seq_15893_77	0.004
21.724	4.702	8056	1.363	seq_15893_78	0.021
21.625	4.751	8107	1.263	seq_15893_76	0.011
22.107	4.711	8046	1.244	seq_15893_79	0.011
22.236	4.75	8034	1.265	seq_15893_80	0.013
20.071	4.427	7986	1.187	seq_15893_81	0.005
22.163	4.726	7974	1.254	seq_15893_82	0.01
23.295	4.913	7928	1.316	seq_15893_85	0.053
19.615	4.327	7971	1.193	seq_15893_83	0.007
21.703	4.7	7969	1.278	seq_15893_84	0.008
20.537	4.535	7892	1.185	seq_15893_86	0.019
19.616	4.428	7833	1.183	seq_15893_91	0.005
21.326	4.711	7884	1.205	seq_15893_87	0.003
22.128	4.754	7860	1.267	seq_15893_88	0.012
22.095	4.701	7858	1.247	seq_15893_89	0.013
21.355	4.672	7849	1.197	seq_15893_90	0.008
19.514	4.346	7752	1.158	seq_15893_94	0.003
21.703	4.613	7799	1.256	seq_15893_92	0.013
22.01	4.789	7785	1.367	seq_15893_93	0.015
18.32	4.123	7750	1.147	seq_15893_95	0.001
