atp_cost	c_content	length	n_content	prot_ID	s_content
21.229	4.615	15483	1.213	seq_39844_5	0.008
20.315	4.473	15245	1.21	seq_39844_6	0.016
20.734	4.545	17817	1.198	seq_39844_1	0.012
18.802	4.247	16322	1.114	seq_39844_3	0.012
20.851	4.509	14916	1.189	seq_39844_7	0.015
19.478	4.282	16067	1.146	seq_39844_4	0.008
21.194	4.61	16477	1.199	seq_39844_2	0.009
18.839	4.111	28178	1.165	seq_39844_0	0.003
21.485	4.663	12869	1.268	seq_39844_10	0.009
22.419	4.728	13404	1.305	seq_39844_9	0.014
21.479	4.709	14511	1.407	seq_39844_8	0.013
20.994	4.582	11732	1.216	seq_39844_15	0.013
20.87	4.579	12584	1.289	seq_39844_12	0.002
22.57	4.9	12663	1.29	seq_39844_11	0.011
21.744	4.721	12228	1.255	seq_39844_13	0.011
20.97	4.593	12098	1.183	seq_39844_14	0.007
20.763	4.516	11716	1.164	seq_39844_16	0.013
19.655	4.269	11286	1.239	seq_39844_17	0.007
18.318	4.056	11083	1.151	seq_39844_18	0.004
20.57	4.51	10858	1.216	seq_39844_19	0.007
20.363	4.519	10791	1.204	seq_39844_20	0.004
19.834	4.18	10429	1.171	seq_39844_22	0.006
24.273	5.035	10211	1.339	seq_39844_24	0.021
21.448	4.667	10590	1.185	seq_39844_21	0.007
22.745	4.862	10229	1.268	seq_39844_23	0.015
19.78	4.384	10077	1.186	seq_39844_25	0.01
18.842	4.195	10022	1.157	seq_39844_26	0.004
19.646	4.461	9867	1.158	seq_39844_28	0.002
22.635	4.786	9914	1.279	seq_39844_27	0.02
19.427	4.369	9845	1.154	seq_39844_29	0.01
21.338	4.72	9800	1.235	seq_39844_30	0.001
18.94	4.271	9611	1.236	seq_39844_31	0.005
20.987	4.599	9568	1.22	seq_39844_34	0.01
20.888	4.599	9585	1.187	seq_39844_32	0.003
21.868	4.749	9583	1.3	seq_39844_33	0.018
22.187	4.736	9466	1.276	seq_39844_37	0.014
21.484	4.72	9557	1.24	seq_39844_35	0.012
20.641	4.564	9449	1.198	seq_39844_38	0.005
22.319	4.743	9152	1.265	seq_39844_40	0.018
22.808	4.863	9150	1.43	seq_39844_41	0.022
17.723	3.846	9144	1.157	seq_39844_42	0.007
20.29	4.433	9556	1.235	seq_39844_36	0.061
23.573	4.996	9301	1.289	seq_39844_39	0.016
22.14	4.703	9131	1.257	seq_39844_43	0.015
21.489	4.699	9105	1.216	seq_39844_44	0.005
20.159	4.486	9100	1.169	seq_39844_45	0.005
21.428	4.754	8998	1.132	seq_39844_46	0.011
22.042	4.756	8948	1.336	seq_39844_47	0.022
19.915	4.405	8942	1.209	seq_39844_48	0.008
19.269	4.388	8918	1.144	seq_39844_49	0.005
20.17	4.324	8871	1.192	seq_39844_50	0.026
22.026	4.755	8863	1.335	seq_39844_51	0.021
23.596	4.868	8862	1.315	seq_39844_52	0.021
23.699	4.981	8729	1.323	seq_39844_53	0.025
22.291	4.799	8646	1.377	seq_39844_54	0.021
20.901	4.567	8600	1.268	seq_39844_56	0.008
20.25	4.421	8645	1.224	seq_39844_55	0.012
20.381	4.414	8572	1.212	seq_39844_59	0.013
22.435	4.769	8597	1.279	seq_39844_57	0.018
22.487	4.778	8566	1.274	seq_39844_60	0.016
22.512	4.786	8566	1.277	seq_39844_61	0.016
24.163	5.026	8559	1.285	seq_39844_62	0.015
22.544	4.807	8539	1.275	seq_39844_63	0.019
22.405	4.784	8573	1.273	seq_39844_58	0.016
22.162	4.714	8485	1.27	seq_39844_64	0.018
24.709	5.123	8393	1.331	seq_39844_67	0.016
22.578	4.792	8467	1.272	seq_39844_65	0.019
22.305	4.641	8387	1.277	seq_39844_68	0.078
23.484	4.831	8376	1.3	seq_39844_69	0.076
22.101	4.713	8259	1.245	seq_39844_70	0.012
22.11	4.715	8217	1.246	seq_39844_72	0.012
22.358	4.755	8397	1.258	seq_39844_66	0.016
23.386	4.906	8232	1.293	seq_39844_71	0.011
19.709	4.379	8173	1.123	seq_39844_74	0.007
22.068	4.706	8214	1.247	seq_39844_73	0.011
18.407	4.178	8129	1.128	seq_39844_75	0.0
21.625	4.751	8107	1.263	seq_39844_76	0.011
21.724	4.702	8056	1.363	seq_39844_78	0.021
20.63	4.556	8087	1.198	seq_39844_77	0.004
22.163	4.726	7974	1.254	seq_39844_82	0.01
22.107	4.711	8046	1.244	seq_39844_79	0.011
20.071	4.427	7986	1.187	seq_39844_81	0.005
19.615	4.327	7971	1.193	seq_39844_83	0.007
21.703	4.7	7969	1.278	seq_39844_84	0.008
22.236	4.75	8034	1.265	seq_39844_80	0.013
